,TotalAmountofAssistance
0,3345612.0
1,1864412.0
2,13453887.0
3,1724853.0
4,30077512.0
5,1658730.0
6,1340702.0
7,1452666.0
8,3527420.0
9,6155856.0
10,1033143.0
11,5552396.0
12,1895904.0
13,2533998.0
14,2525723.0
15,2548830.0
16,315635700.0
17,2312261.0
18,4240538.0
19,1890491.0
20,2818563.0
21,3049845.0
22,3292766.0
23,7036095.0
24,3710526.0
25,896759.0
26,202376181.0
27,420940.0
28,3396859.0
29,1371086.0
30,1130951.0
31,1126396.0
32,790588.0
33,5040800.0
34,2513363.0
35,1677872.0
36,6478283.0
37,4218295.0
38,671306.0
39,3065630.0
40,3577721.0
41,3275928.0
42,2671308.0
43,1243588.0
44,2446464.0
45,47317173.0
46,1978193.0
47,3755629.0
48,491426.0
49,249960.0
50,2247734.0
51,1206793.0
52,4637664.0
53,2053339.0
54,59755992.0
55,1800615.0
56,962061.0
57,502817.0
58,4068360.0
59,20155611.0
60,429104.0
61,4220545.0
62,1317624.0
63,1325335.0
64,11391681.0
65,1440764.0
66,2257870.0
67,1499474.0
68,841616.0
69,1349074.0
70,795948.0
71,1293489.0
72,16796366.0
73,10631411.0
74,96309030.0
75,2257495.0
76,190472938.0
77,502584.0
78,4011050.0
79,3111505.0
80,597439.0
81,2015514.0
82,54082.0
83,2403723.0
84,775584.0
85,1341097.0
86,104123811.0
87,2394977.0
88,489512.0
89,22430291.0
90,76031784.0
91,1102457.0
92,83607077.0
93,612804.0
94,853133.0
95,873689.0
96,2515938.0
97,7777098.0
98,614068.0
99,1359346.0
100,13509662.0
101,2414699.0
102,2069460.0
103,1714281.0
104,30392556.0
105,1385451.0
106,788599.0
107,1636426.0
108,1239122.0
109,2884817.0
110,1467132.0
111,6233820.0
112,988061.0
113,1262924.0
114,4052088.0
115,1454281.0
116,1948714.0
117,1216601.0
118,5852232.0
119,6343700.0
120,2223059.0
121,1287282.0
122,2726558.0
123,4957942.0
124,2686540.0
125,1091494.0
126,235434075.0
127,477713.0
128,3743400.0
129,1307930.0
130,881961.0
131,5893114.0
132,311016629.0
133,789556.0
134,10274821.0
135,2449186.0
136,137275588.0
137,2661655.0
138,547069.0
139,68063288.0
140,3225820.0
141,889496.0
142,98254981.0
143,15437033.0
144,5764689.0
145,4591717.0
146,6910234.0
147,2622475.0
148,673413.0
149,413987.0
150,18236626.0
151,1844186.0
152,79970512.0
153,539053.0
154,28208367.0
155,29876375.0
156,1486681.0
157,824222.0
158,49550089.0
159,7882488.0
160,5818783.0
161,8883799.0
162,1198524.0
163,5112413.0
164,5700232.0
165,1041662.0
166,2944583.0
167,764829.0
168,3360964.0
169,2306029.0
170,2491389.0
171,936266.0
172,55322766.0
173,3637928.0
174,3767073.0
175,2449554.0
176,141776088.0
177,520857.0
178,4330170.0
179,636384.0
180,852979.0
181,755535.0
182,535889.0
183,13144827.0
184,6168918.0
185,1495639.0
186,3286698.0
187,10494432.0
188,661136.0
189,64580916.0
190,3826069.0
191,4038180.0
192,46570295.0
193,668749.0
194,2735678.0
195,493740.0
196,3061489.0
197,2067441.0
198,946699.0
199,573639.0
200,13734021.0
201,840218.0
202,60034678.0
203,95135122.0
204,158244985.0
205,10796826.0
206,1306178.0
207,1485254.0
208,52936642.0
209,2374660.0
210,329849.0
211,3041432.0
212,910270.0
213,11321378.0
214,1593785.0
215,992149.0
216,1092217.0
217,250695185.0
218,1860604.0
219,1428319.0
220,1093090.0
221,2360732.0
222,29572563.0
223,3478408.0
224,2609443.0
225,618074.0
226,126884709.0
227,759349.0
228,2293019.0
229,739179.0
230,314035.0
231,1493382.0
232,201782.0
233,30602444.0
234,2756315.0
235,645165.0
236,13382214.0
237,2943270.0
238,8838243.0
239,53928982.0
240,538508.0
241,6964195.0
242,9605822.0
243,448561.0
244,4195235.0
245,1121855.0
246,18389113.0
247,2915140.0
248,790383.0
249,570570.0
