"","State","Year","BDPRP","CLPRB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NUETB","PAPRB","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","emissions","numInvestments","assistance"
"1","AK",2015,21.84,17747,23720.058432,186,14621,16298,380887,168290.108,1007501,23807,3,1429942,614242,1395.604,6865,6865,622,7488,1488,35.0278036,16,3345612
"2","AK",2016,27.3,13942,23814.938665728,186,15317,17081,369865,168963.268432,1026401,25155,14,1435363,593662,1401.186416,7636,7636,412,8048,1563,33.40561066,14,2247734
"3","AK",2017,27.3,14365,23910.1984203909,186,15143,16655,382940,169639.121505728,1033270,23620,20,1454196,601492,1406.791161664,6501,6501,436,6937,1305,33.72913017,18,13509662
"4","AK",2018,16.38,13752,24005.8392140725,186,15151,16777,375279,170317.677991751,997415,24158,28,1410604,604644,1412.41832631066,6910,6910,456,7366,1411,34.51458857,44,18236626
"5","AK",2019,4164.53856,14867,24101.8625709288,186,14456,15951,364363,170998.948703718,968358,22754,40,1370342,605689,1418.0679996159,6418,6418,386,6803,1270,34.25944031,32,13734021
"6","AL",2015,1943.76,331420,24198.2700212125,141,91902,92144,182481,438728,55421,258955,101,1267004,1917138,1423.74027161436,163313,163313,1565,164877,45331.964,119.2008893,164,1864412
"7","AL",2016,1916.46,247632,24295.0631012973,141,64484,65056,176290,417334,46417,230734,431,1118407,1922727,1429.43523270082,162166,162166,1606,163772,45513.291856,113.9837834,129,1206793
"8","AL",2017,1594.32,326748,24392.2433537025,141,85103,87057,159686,446097,39100,258549,1812,1230179,1904206,1137,168195,167058,1712,169907,45695.345023424,108.5943783,104,2414699
"9","AL",2018,1659.84,370533,24489.8123271173,141,101447,105013,149607,412584,33591,279560,3425,1245875,1956413,4462,171215,166753,1680,172895,45878.1264035177,112.3554714,75,1844186
"10","AL",2019,1501.5,350506,24587.7715764258,141,101563,105332,138425,455865,27687,278142,3628,1250624,1926332,5308,169739,164431,1577,171316,46061.6389091318,106.2507516,54,840218
"11","AR",2015,4449.9,1819,24686.1226627315,808,33261,34194,1031466,144716,35611,117840,124,1331452,1062359,1435.15297363162,75417,75417,3799,79217,46245.8854647683,59.05336455,477,13453887
"12","AR",2016,5405.4,974,24784.8671533824,808,32958,34139,839485,140370,31580,115419,372,1127828,1053706,1440.89358552615,70786,70786,5118,75904,46430.8690066274,62.12624984,703,4637664
"13","AR",2017,6792.24,832,24884.006621996,808,27117,28367,708482,132736,30263,116692,442,989005,1057701,5455,77206,71751,4359,81565,46616.5924826539,64.17625679,469,2069460
"14","AR",2018,9544.08,310357.992,24983.5426484839,808,27392,30317,600455,132996,28553,126121,2117,888125,1116757,8489,82077,73588,4228,86305,46803.0588525845,70.78614615,414,79970512
"15","AR",2019,8632.26,311599.423968,25083.4768190779,808,36819,39884,534585,141750,27538,133513,2256,837386,1096477,8833,81001,72168,4040,85041,46990.2710879948,65.07220242,302,60034678
"16","AZ",2015,10.92,146450,3683.568,345,60906,113693,99,340153,212,128954,48229,615867,1495858,1446.65715986825,8001,8001,658,8659,4213,94.97878443,65,1724853
"17","AZ",2016,54.6,116678,3440.976,345,66173,124372,49,338636,46,138522,52854,593930,1524720,1452.44378850773,7481,7481,465,7946,5000,90.85562563,54,2053339
"18","AZ",2017,4181.19671424,134024,3686.76,345,62942,134856,58,338246,74,149493,66318,621896,1531479,1458.25356366176,7541,7541,512,8053,5251,90.47614096,46,1714281
"19","AZ",2018,4197.92150109696,140759,3779.328,345,63566,139517,44,325122,57,156071,70779,622052,1542208,1464.08657791641,9307,9307,489,9796,4827,94.09550866,48,539053
"20","AZ",2019,4214.71318710135,82222,1694.952,345,55251,133794,68,333312,40,148194,73262,563836,1556416,1469.94292422807,10949,10949,425,11374,4937,92.53702529,29,95135122
"21","CA",2015,4078.62,312845.821663872,14842.8,112878,128681,567365,271086,193529,1150741,737527,211839,2352883,7525491,1475.82269592498,98852,98852,40708,139561,113967,351.408516,1023,30077512
"22","CA",2016,5902.26,314097.204950527,15056.664,107912,267194,767360,234094,197754,1064744,929692,267538,2426284,7647955,1481.72598670868,89236,89236,40332,129568,124715,353.3561319,848,59755992
"23","CA",2017,5465.46,315353.59377033,16122.792,108637,390292,957430,240221,187227,992385,1122218,340363,2542051,7766193,1487.65289065552,87833,87833,42714,130548,118138,356.5165476,786,30392556
"24","CA",2018,5978.7,316615.008145411,16502.64,108445,239714,857451,228906,190422,916715,1026274,381618,2362317,7865156,1493.60350221814,90644,90644,42714,133358,127674,358.5947178,749,28208367
"25","CA",2019,5520.06,317881.468177993,14785.344,99329,341549,968843,220789,168799,890882,1140051,405654,2420522,7790111,1499.57791622701,98358,98358,40974,139332,122311,358.1643733,609,158244985
"26","CO",2015,4231.57203984975,403605,11104.968,759,15098,91789,1965188,171682.944498533,698737,126586,6270,3194117,1501006,1505.57622789192,13804,13804,1133,14936,69662,91.30387161,206,1658730
"27","CO",2016,4248.49832800915,270920,10894.296,759,17565,114808,1981005,172369.676276527,663969,149600,9509,3065494,1470307,1511.59853280349,14233,14233,1098,15331,86977,88.42427593,258,1800615
"28","CO",2017,4265.49232132119,320001,11098.584,759,17479,118027,2028824,173059.154981633,744780,153379,13973,3246984,1477307,1517.6449269347,14434,14434,1090,15524,85816,88.77624019,181,1385451
"29","CO",2018,4282.55429060647,293149,11034.744,759,16618,121433,2217310,173751.39160156,966448,156998,15336,3633905,1527222,1523.71550664244,14728,14728,1102,15831,88720,90.06168948,142,29876375
"30","CO",2019,4299.6845077689,270466,10492.104,759,16127,130306,2394039,174446.397167966,1096198,167095,16780,3927798,1566652,1529.81036866901,16968,16968,1095,18063,96640,91.72734664,96,10796826
"31","CT",2015,720.72,319152.994050705,25183.8107263542,21,2819,5792,686990.076,182083,353177.084,33234,2952,215318,756746,1535.92961014369,15661,15661,11067,26728,47178.2321723468,36.32904924,33,1340702
"32","CT",2016,1501.5,320429.606026907,25284.5459692596,21,2069,6336,689738.036304,173363,354589.792336,34249,4128,207612,724686,1542.07332858426,14933,14933,11485,26418,118,34.09544003,28,962061
"33","CT",2017,1386.84,321711.324451015,25385.6841531366,21,3060,8284,692496.988449216,172570,356008.151505344,32888,5086,205458,728349,1548.2416218986,12683,12683,10543,23225,117,33.8574222,40,788599
"34","CT",2018,2309.58,322998.169748819,25487.2268897492,21,5056,11668,695266.976403013,176496,357432.184111365,37572,6480,214068,756159,1554.43458838619,13893,13893,9715,23608,112,37.38424068,21,1486681
"35","CT",2019,2369.64,324290.162427814,25589.1757973082,21,3811,11485,698048.044308625,174730,358861.912847811,37172,7545,211902,735517,1560.65232673974,14328,14328,9000,23328,109,36.63166173,19,1306178
"36","DE",2015,4316.88324579998,325587.323077526,25691.5325004974,430,51148.96,1708,700840.236485859,175144.182756638,360297.360499202,3517,1230,3517,284672,1566.8949360467,1044,1044,765,1809,48,13.9053954,68,1452666
"37","DE",2016,4334.15077878318,326889.672369836,25794.2986304994,430,51353.55584,1612,703643.597431803,175844.759487664,361738.549941199,3105,1133,3105,280937,1573.16251579088,825,825,667,1493,49,14.41948129,38,502817
